"group","species","parameter","value","source/derivation","notes"
"other mesopelagics","Paradiplospinus gracilis","Lmat cm","30","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","a (W=aL^b)","1.0200000000000001E-3","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","b (W=aL^b)","3.06","Fishbase","."
"other mesopelagics","Paradiplospinus gracilis","wmat","33.799999999999798","calculated or assumed","."
"other mesopelagics","Paradiplospinus gracilis","wmax","189","Williams 2004","."
"other mesopelagics","Paradiplospinus gracilis","winf","1574.6","Fishbase","seems doubtful"
"other mesopelagics","Paradiplospinus gracilis","distribution","Broad Antarctic","Williams 2004","Note that Williams lists as Anatarctic, and Duhamel 2014 states that B. antarcticus is circum-antarctic while B. tenuis is circum-subantarctic. Currently using 'B. antarcticus' as a single generic grouping rather than splitting."
"","","","","",""
"bathypelagics","Bathylagus antarcticus","k (Von Bertalanffy)","0.17","Fishbase","."
"bathypelagics","Bathylagus antarcticus","fishbase Q/B at 1 deg C","3.9","Fishbase","."
"bathypelagics","Bathylagus antarcticus","min depth","0","Fishbase","."
"bathypelagics","Bathylagus antarcticus","max depth","4000","Fishbase","."
"bathypelagics","Bathylagus antarcticus","water column use","non DVM","Williams 2004, Fishbase","not migratory but mainly found deeper"
"bathypelagics","Bathylagus antarcticus","time to maturity","4.7","Fishbase","."
"bathypelagics","Bathylagus antarcticus","egg size mm","2","Gon & Heemstra","."
"bathypelagics","Bathylagus antarcticus","egg mass g","4.1887902047863896E-3","calculated or assumed","."
"bathypelagics","Bathylagus antarcticus","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"bathypelagics","Bathylagus antarcticus","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"bathypelagics","Bathylagus antarcticus","Lmax cm","17","Williams 2004","for females"
"bathypelagics","Bathylagus antarcticus","Linf cm","14.9","Fishbase","."
"bathypelagics","Bathylagus antarcticus","Lmat cm","11.2","Gon & Heemstra","for females"
"bathypelagics","Bathylagus antarcticus","a (W=aL^b)","0.01","arbitrary","Fishbase a value was 0.00537, but this gives much to small masses at large size. To be checked against empirical data."
"bathypelagics","Bathylagus antarcticus","b (W=aL^b)","2.98","Fishbase","."
"bathypelagics","Bathylagus antarcticus","wmat","13.4","calculated or assumed","."
"bathypelagics","Bathylagus antarcticus","wmax","51","Williams 2004","."
"bathypelagics","Bathylagus antarcticus","winf","33.1","Fishbase","check against at-sea measurements if any were heavier"
"bathypelagics","Bathylagus antarcticus","distribution","Broad Antarctic","Williams 2004","."
"","","","","",""
"large myctophids","Gymnoscopelus braueri","k (Von Bertalanffy)","0.25","Fishbase","."
"large myctophids","Gymnoscopelus braueri","fishbase Q/B at 1 deg C","4.0999999999999801","Fishbase","."
"large myctophids","Gymnoscopelus braueri","annual food consumption (x body wt)","7","Lancraft 1991","Lancraft 1991 estimates 7 for Gymnoscopelus in general"
"large myctophids","Gymnoscopelus braueri","min depth","0","Fishbase","."
"large myctophids","Gymnoscopelus braueri","max depth","2700","Fishbase","williams notes as mainly restricted to upper 500m"
"large myctophids","Gymnoscopelus braueri","water column use","DVM","Williams 2004","upper 200m at night; 200-500m during day"
"large myctophids","Gymnoscopelus braueri","time to maturity","3.2","Fishbase","."
"large myctophids","Gymnoscopelus braueri","egg size mm","","","."
"large myctophids","Gymnoscopelus braueri","egg mass g","1E-3","calculated or assumed","."
"large myctophids","Gymnoscopelus braueri","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"large myctophids","Gymnoscopelus braueri","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"large myctophids","Gymnoscopelus braueri","Lmax cm","13.2","Williams 2004","."
"large myctophids","Gymnoscopelus braueri","Linf cm","14","Fishbase","."
"large myctophids","Gymnoscopelus braueri","Lmat cm","11.4","Williams 2004","."
"large myctophids","Gymnoscopelus braueri","a (W=aL^b)","5.3699999999999902E-3","Fishbase","."
"large myctophids","Gymnoscopelus braueri","b (W=aL^b)","3.08","Fishbase","."
"large myctophids","Gymnoscopelus braueri","wmat","9.6999999999999904","calculated or assumed","."
"large myctophids","Gymnoscopelus braueri","wmax","21","Williams 2004","."
"large myctophids","Gymnoscopelus braueri","winf","27.4","Fishbase","."
"large myctophids","Gymnoscopelus braueri","distribution","Broad Antarctic","Williams 2004; Duhamel et al. 2014","."
"","","","","",""
"small myctophids","Gymnoscopelus fraseri","k (Von Bertalanffy)","0.37","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","fishbase Q/B at 1 deg C","11.5","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","annual food consumption (x body wt)","7","Lancraft 1991","Lancraft 1991 estimates 7 for Gymnoscopelus in general"
"small myctophids","Gymnoscopelus fraseri","min depth","0","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","max depth","250","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","water column use","DVM","Fishbase","upper 100m at night"
"small myctophids","Gymnoscopelus fraseri","time to maturity","2.2999999999999901","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","egg size mm","","","."
"small myctophids","Gymnoscopelus fraseri","egg mass g","1E-3","calculated or assumed","."
"small myctophids","Gymnoscopelus fraseri","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"small myctophids","Gymnoscopelus fraseri","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"small myctophids","Gymnoscopelus fraseri","Lmax cm","9.8000000000000007","Duhamel et al 2005","."
"small myctophids","Gymnoscopelus fraseri","Linf cm","9.4","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","Lmat cm","7.3","Gon & Heemstra","."
"small myctophids","Gymnoscopelus fraseri","a (W=aL^b)","5.3699999999999902E-3","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","b (W=aL^b)","3.08","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","wmat","2.4","calculated or assumed","."
"small myctophids","Gymnoscopelus fraseri","wmax","6.1","calculated or assumed","."
"small myctophids","Gymnoscopelus fraseri","winf","8.3000000000000007","Fishbase","."
"small myctophids","Gymnoscopelus fraseri","distribution","Subantarctic","Williams 2004; Duhamel et al. 2014","."
"","","","","",""
"large myctophids","Gymnoscopelus nicholsi","k (Von Bertalanffy)","0.21","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","fishbase Q/B at 1 deg C","3.6","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","annual food consumption (x body wt)","7","Lancraft 1991","Lancraft 1991 estimates 7 for Gymnoscopelus in general"
"large myctophids","Gymnoscopelus nicholsi","min depth","0","Williams 2004","."
"large myctophids","Gymnoscopelus nicholsi","max depth","700","Williams 2004","."
"large myctophids","Gymnoscopelus nicholsi","water column use","DVM","Williams 2004","350-700m during day; 50-90m during night"
"large myctophids","Gymnoscopelus nicholsi","time to maturity","3.7","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","egg size mm","","","."
"large myctophids","Gymnoscopelus nicholsi","egg mass g","1E-3","calculated or assumed","."
"large myctophids","Gymnoscopelus nicholsi","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"large myctophids","Gymnoscopelus nicholsi","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"large myctophids","Gymnoscopelus nicholsi","Lmax cm","20","Williams 2004","."
"large myctophids","Gymnoscopelus nicholsi","Linf cm","17","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","Lmat cm","10.6","Fishbase","Gon & Heemstra has lmat as 160-180 TL"
"large myctophids","Gymnoscopelus nicholsi","a (W=aL^b)","6.3099999999999901E-3","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","b (W=aL^b)","3.06","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","wmat","8.6999999999999904","calculated or assumed","."
"large myctophids","Gymnoscopelus nicholsi","wmax","51","Williams 2004","."
"large myctophids","Gymnoscopelus nicholsi","winf","52","Fishbase","."
"large myctophids","Gymnoscopelus nicholsi","distribution","Broad Antarctic","Williams 2004; Duhamel et al. 2014","."
"","","","","",""
"other mesopelagics","Melanonus gracilis","k (Von Bertalanffy)","0.2","calculated or assumed","K ""invalid"" on fishbase"
"other mesopelagics","Melanonus gracilis","fishbase Q/B at 1 deg C","7.3","Fishbase","."
"other mesopelagics","Melanonus gracilis","min depth","150","Fishbase","usually 600-1100m"
"other mesopelagics","Melanonus gracilis","max depth","3613","Fishbase","usually 600-1100m"
"other mesopelagics","Melanonus gracilis","water column use","non DVM","","no specific information found. CHECK POISSONS KERG"
"other mesopelagics","Melanonus gracilis","time to maturity","2","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","egg size mm","","","."
"other mesopelagics","Melanonus gracilis","egg mass g","1E-3","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","preferred predator-prey mass ratio (mean)","200","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","Lmax cm","18.7","Fishbase","."
"other mesopelagics","Melanonus gracilis","Linf cm","19.8","Fishbase","."
"other mesopelagics","Melanonus gracilis","Lmat cm","12.2","Fishbase","."
"other mesopelagics","Melanonus gracilis","a (W=aL^b)","3.8899999999999699E-3","Fishbase","."
"other mesopelagics","Melanonus gracilis","b (W=aL^b)","3.12","Fishbase","."
"other mesopelagics","Melanonus gracilis","wmat","9.5","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","wmax","36.1","calculated or assumed","."
"other mesopelagics","Melanonus gracilis","winf","77.599999999999696","Fishbase","."
"other mesopelagics","Melanonus gracilis","distribution","Broad Antarctic",".","."
"","","","","",""
"bathypelagics","Cynomacrurus piriei","k (Von Bertalanffy)","0.16","Fishbase","."
"bathypelagics","Cynomacrurus piriei","fishbase Q/B at 1 deg C","1.8","Fishbase","."
"bathypelagics","Cynomacrurus piriei","min depth","500","Fishbase","usually 1000-2000m"
"bathypelagics","Cynomacrurus piriei","max depth","3800","Fishbase","usually 1000-2000m"
"bathypelagics","Cynomacrurus piriei","water column use","non DVM","Fishbase","."
"bathypelagics","Cynomacrurus piriei","time to maturity","4.2","Fishbase","."
"bathypelagics","Cynomacrurus piriei","egg size mm","1.1000000000000001","Gon & Heemstra","."
"bathypelagics","Cynomacrurus piriei","egg mass g","6.9690997032133598E-4","calculated or assumed","."
"bathypelagics","Cynomacrurus piriei","preferred predator-prey mass ratio (mean)","200","calculated or assumed","."
"bathypelagics","Cynomacrurus piriei","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"bathypelagics","Cynomacrurus piriei","Lmax cm","50","Fishbase","."
"bathypelagics","Cynomacrurus piriei","Linf cm","52","Fishbase","."
"bathypelagics","Cynomacrurus piriei","Lmat cm","29","Fishbase","."
"bathypelagics","Cynomacrurus piriei","a (W=aL^b)","3.0200000000000001E-3","Fishbase","."
"bathypelagics","Cynomacrurus piriei","b (W=aL^b)","3.12","Fishbase","."
"bathypelagics","Cynomacrurus piriei","wmat","110.3","calculated or assumed","."
"bathypelagics","Cynomacrurus piriei","wmax","603.70000000000005","calculated or assumed","."
"bathypelagics","Cynomacrurus piriei","winf","1401.6","Fishbase","."
"bathypelagics","Cynomacrurus piriei","distribution","Broad Antarctic","Fishbase","."
"","","","","",""
"small myctophids","Protomyctophum bolini","k (Von Bertalanffy)","0.47","Fishbase","."
"small myctophids","Protomyctophum bolini","fishbase Q/B at 1 deg C","6.2","Fishbase","."
"small myctophids","Protomyctophum bolini","min depth","350","Williams 2004","608-728m (day); 364- 426 (night)"
"small myctophids","Protomyctophum bolini","max depth","750","Williams 2004","608-728m (day); 364- 426 (night)"
"small myctophids","Protomyctophum bolini","water column use","DVM","Williams 2004","608-728m (day); 364- 426 (night)"
"small myctophids","Protomyctophum bolini","time to maturity","1.9","Fishbase","."
"small myctophids","Protomyctophum bolini","egg size mm","","","."
"small myctophids","Protomyctophum bolini","egg mass g","1E-3","calculated or assumed","."
"small myctophids","Protomyctophum bolini","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"small myctophids","Protomyctophum bolini","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"small myctophids","Protomyctophum bolini","Lmax cm","6.7","Williams 2004","."
"small myctophids","Protomyctophum bolini","Linf cm","7.2","Fishbase","."
"small myctophids","Protomyctophum bolini","Lmat cm","5.0999999999999801","Williams 2004","."
"small myctophids","Protomyctophum bolini","a (W=aL^b)","1.023E-2","Fishbase","."
"small myctophids","Protomyctophum bolini","b (W=aL^b)","3.11","Fishbase","."
"small myctophids","Protomyctophum bolini","wmat","1.6","calculated or assumed","."
"small myctophids","Protomyctophum bolini","wmax","3.9","Williams 2004","."
"small myctophids","Protomyctophum bolini","winf","3.7","Fishbase","."
"small myctophids","Protomyctophum bolini","distribution","Broad Antarctic","Williams 2004","."
"","","","","",""
"bathypelagics","Benthalbella elongata","k (Von Bertalanffy)","0.2","calculated or assumed","k ""invalid"" on Fishbase"
"bathypelagics","Benthalbella elongata","fishbase Q/B at 1 deg C","3.4","Fishbase","."
"bathypelagics","Benthalbella elongata","min depth","500","Fishbase","Larvae in upper 200m"
"bathypelagics","Benthalbella elongata","max depth","3000","Fishbase","No max depth specified on FB"
"bathypelagics","Benthalbella elongata","water column use","ontogenetic change","Fishbase","adults deeper than 500m; Larvae in top 200m"
"bathypelagics","Benthalbella elongata","time to maturity","2","calculated or assumed","not available on FB"
"bathypelagics","Benthalbella elongata","egg size mm","","","."
"bathypelagics","Benthalbella elongata","egg mass g","1E-3","calculated or assumed","."
"bathypelagics","Benthalbella elongata","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"bathypelagics","Benthalbella elongata","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"bathypelagics","Benthalbella elongata","Lmax cm","35","Gon & Heemstra","."
"bathypelagics","Benthalbella elongata","Linf cm","36.6","Fishbase","."
"bathypelagics","Benthalbella elongata","Lmat cm","21.2","Fishbase","."
"bathypelagics","Benthalbella elongata","a (W=aL^b)","0.01","Fishbase","."
"bathypelagics","Benthalbella elongata","b (W=aL^b)","3.04","Fishbase","."
"bathypelagics","Benthalbella elongata","wmat","107.7","calculated or assumed","."
"bathypelagics","Benthalbella elongata","wmax","494.3","calculated or assumed","."
"bathypelagics","Benthalbella elongata","winf","490","Fishbase","."
"bathypelagics","Benthalbella elongata","distribution","Broad Antarctic","Fishbase","."
"","","","","",""
"bathypelagics","Benthalbella macropinna","k (Von Bertalanffy)","0.2","calculated or assumed","k ""invalid"" on Fishbase"
"bathypelagics","Benthalbella macropinna","fishbase Q/B at 1 deg C","6.3","Fishbase","."
"bathypelagics","Benthalbella macropinna","min depth","0","Fishbase","usually deeper than 500m"
"bathypelagics","Benthalbella macropinna","max depth","840","Fishbase","usually deeper than 500m"
"bathypelagics","Benthalbella macropinna","water column use","non DVM","Williams 2004","."
"bathypelagics","Benthalbella macropinna","time to maturity","2","calculated or assumed","not available on FB"
"bathypelagics","Benthalbella macropinna","egg size mm","","","."
"bathypelagics","Benthalbella macropinna","egg mass g","1E-3","calculated or assumed","."
"bathypelagics","Benthalbella macropinna","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"bathypelagics","Benthalbella macropinna","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"bathypelagics","Benthalbella macropinna","Lmax cm","24","Gon & Heemstra","."
"bathypelagics","Benthalbella macropinna","Linf cm","25.3","Fishbase","."
"bathypelagics","Benthalbella macropinna","Lmat cm","15.2","Fishbase","."
"bathypelagics","Benthalbella macropinna","a (W=aL^b)","3.47E-3","Fishbase","."
"bathypelagics","Benthalbella macropinna","b (W=aL^b)","3.16","Fishbase","."
"bathypelagics","Benthalbella macropinna","wmat","18.8","calculated or assumed","."
"bathypelagics","Benthalbella macropinna","wmax","79.8","calculated or assumed","."
"bathypelagics","Benthalbella macropinna","winf","161.9","Fishbase","."
"bathypelagics","Benthalbella macropinna","distribution","Broad Antarctic","Fishbase","."
"","","","","",""
"icefish","Champsocephalus gunnari","k (Von Bertalanffy)","0.16","Fishbase","."
"icefish","Champsocephalus gunnari","fishbase Q/B at 1 deg C","2.2999999999999901","Fishbase","."
"icefish","Champsocephalus gunnari","min depth","0","Fishbase","Williams says vast majority of population in 350m or less; fishbase says normally 30-250m"
"icefish","Champsocephalus gunnari","max depth","700","Fishbase","Williams says vast majority of population in 350m or less; fishbase says normally 30-250m"
"icefish","Champsocephalus gunnari","water column use","non DVM","Fishbase","."
"icefish","Champsocephalus gunnari","time to maturity","2","Williams 2004","."
"icefish","Champsocephalus gunnari","egg size mm","3.5","Fishbase, Gon & Heemstra","Williams notes as 3.5-3.8"
"icefish","Champsocephalus gunnari","egg mass g","2.24492975037771E-2","calculated or assumed","."
