"group","parameter","value","source/derivation","notes"
"Flying birds - small","preferred PPMR SD",0.0222814276524007,"",""
"Flying birds - med","annual prey consumption (g)",49358.5234594103,"",""
"Flying birds - med","maximum weight",412.916666666667,"","mass in g"
"Flying birds - med","weight at maturity",412.916666666667,"",""
"Flying birds - med","wieght at birth",71.8333333333333,"",""
"Flying birds - med","weight at weaning/fledging",412.916666666667,"",""
"Flying birds - med","preferred PPMR mean",0.00610204774410628,"Cherel et al 2002a, 2002b","mean prey size/max body size"
"Flying birds - med","preferred PPMR SD",0.00674510493691222,"",""
"Flying birds - large","annual prey consumption (g)",212989.413543942,"",""
"Flying birds - large","maximum weight",4191.25,"","mass in g"
"Flying birds - large","weight at maturity",4191.25,"",""
"Flying birds - large","wieght at birth",275.428571428571,"",""
"Flying birds - large","weight at weaning/fledging",4191.25,"",""
"Flying birds - large","preferred PPMR mean",0.0462397859352943,"Cherel et al 2002","mean prey size/max body size"
"Flying birds - large","preferred PPMR SD",0.03926475676248,"",""
"flying birds - coastal","annual prey consumption (g)",256153.846153846,"",""
"flying birds - coastal","maximum weight",2230,"","mass in g"
"flying birds - coastal","weight at maturity",2230,"",""
"flying birds - coastal","wieght at birth",60,"",""
"flying birds - coastal","weight at weaning/fledging",2230,"",""
"flying birds - coastal","preferred PPMR mean",0.00681818181818182,"Kato 1996","mean prey size/max body size"
"flying birds - coastal","preferred PPMR SD",0.00545454545454545,"",""
"blue whale","annual prey consumption (g)",450374331.550802,"Mori and Butterworth",""
"blue whale","maximum weight",1.03e+08,"Mori and Butterworth","mass in g"
"blue whale","weight at maturity",1.03e+08,"",""
"blue whale","wieght at birth",2500000,"Reidenberg and Laitman (2002)",""
"blue whale","weight at weaning/fledging",10300000,"","calculated or assumed"
"blue whale","preferred PPMR mean",1.15533980582524e-08,"","mean prey size/max body size"
"blue whale","preferred PPMR SD",3.39805825242718e-09,"",""
"fin whale","annual prey consumption (g)",220434042.553191,"Mori and Butterworth",""
"fin whale","maximum weight",4.6e+07,"Mori and Butterworth","mass in g"
"fin whale","weight at maturity",4.6e+07,"",""
"fin whale","wieght at birth",1775000,"Reidenberg and Laitman (2002)",""
"fin whale","weight at weaning/fledging",4600000,"","calculated or assumed"
"fin whale","preferred PPMR mean",2.58695652173913e-08,"","mean prey size/max body size"
"fin whale","preferred PPMR SD",2.58695652173913e-08,"",""
"sei whale","annual prey consumption (g)",84169379.0881573,"estimated from average rates of other rorchals",""
"sei whale","maximum weight",22500000,"Reidenberg and Laitman (2002)","mass in g"
"sei whale","weight at maturity",22500000,"",""
"sei whale","wieght at birth",780000,"Reidenberg and Laitman (2002)",""
"sei whale","weight at weaning/fledging",2250000,"","calculated or assumed"
"sei whale","preferred PPMR mean",5.28888888888889e-08,"","mean prey size/max body size"
"sei whale","preferred PPMR SD",1.55555555555556e-08,"",""
"humpback whale","annual prey consumption (g)",107973333.333333,"Mori and Butterworth",""
"humpback whale","maximum weight",2.7e+07,"Mori and Butterworth","mass in g"
"humpback whale","weight at maturity",2.7e+07,"",""
"humpback whale","wieght at birth",1200000,"Reidenberg and Laitman (2002)",""
"humpback whale","weight at weaning/fledging",2700000,"","calculated or assumed"
"humpback whale","preferred PPMR mean",4.40740740740741e-08,"","mean prey size/max body size"
"humpback whale","preferred PPMR SD",1.2962962962963e-08,"",""
"minke whale","annual prey consumption (g)",27516417.9104478,"Mori and Butterworth",""
"minke whale","maximum weight",6e+06,"Mori and Butterworth","mass in g"
"minke whale","weight at maturity",6e+06,"",""
"minke whale","wieght at birth",350000,"Reidenberg and Laitman (2002)",""
"minke whale","weight at weaning/fledging",6e+05,"","calculated or assumed"
"minke whale","preferred PPMR mean",1.98333333333333e-07,"","mean prey size/max body size"
"minke whale","preferred PPMR SD",5.83333333333333e-08,"",""
"Southern Right Whales","annual prey consumption (g)",346428571.428571,"Hewitt and Lipsky (2002)","assumes 100% diet"
"Southern Right Whales","maximum weight",5.5e+07,"","mass in g"
"Southern Right Whales","weight at maturity",5.5e+07,"",""
"Southern Right Whales","wieght at birth",1e+06,"",""
"Southern Right Whales","weight at weaning/fledging",5500000,"","calculated or assumed"
"Southern Right Whales","preferred PPMR mean",2.26849315068493e-05,"","mean prey size/max body size"
"Southern Right Whales","preferred PPMR SD",8.42191780821918e-05,"",""
"Orca","annual prey consumption (g)",20327983.5390947,"Barlow et al (2008)",""
"Orca","maximum weight",6e+06,"Reidenberg and Laitman (2002)","mass in g"
"Orca","weight at maturity",4900000,"Dahlheim and Heyning 1999",""
"Orca","wieght at birth",3e+05,"Estimated from Reidenberg and Laitman (2002)",""
"Orca","weight at weaning/fledging",490000,"","calculated or assumed"
"Orca","preferred PPMR mean",1.79229089252772,"","mean prey size/max body size"
"Orca","preferred PPMR SD",0.350372103745663,"",""
"Sperm Whales","annual prey consumption (g)",175553276.383871,"estimated from average rates of other rorchals",""
"Sperm Whales","maximum weight",36500000,"Reidenberg and Laitman (2002)","mass in g"
"Sperm Whales","weight at maturity",36500000,"",""
"Sperm Whales","wieght at birth",1e+06,"",""
"Sperm Whales","weight at weaning/fledging",3650000,"","calculated or assumed"
"Sperm Whales","preferred PPMR mean",2.26849315068493e-05,"Evans and Hindell (2004)","1/400 according to Williams in Estes whales book"
"Sperm Whales","preferred PPMR SD",8.42191780821918e-05,"Evans and Hindell (2004)",""
"Ziphiids","annual prey consumption (g)",11357091.7418062,"Barlow et al (2008)",""
"Ziphiids","maximum weight",1283000,"Barlow et al (2008)","mass in g"
"Ziphiids","weight at maturity",1283000,"",""
"Ziphiids","wieght at birth",102500,"both Barlow and Reidenberg",""
"Ziphiids","weight at weaning/fledging",128300,"","calculated or assumed"
"Ziphiids","preferred PPMR mean",4.79797488073216e-05,"assumed same as SES","mean prey size/max body size"
"Ziphiids","preferred PPMR SD",0.000102969525849479,"assumed same as SES",""
"Dolphins","annual prey consumption (g)",1561293.43682593,"Barlow et al (2008)",""
"Dolphins","maximum weight",123000,"mean of 22 species in Barlow and Reidenberg","mass in g"
"Dolphins","weight at maturity",123000,"",""
"Dolphins","wieght at birth",12000,"10% of adult mass",""
"Dolphins","weight at weaning/fledging",12300,"","calculated or assumed"
"Dolphins","preferred PPMR mean",0.00024966838614591,"assummed to be 50% of SES prey size","mean prey size/max body size"
"Dolphins","preferred PPMR SD",0.00107162859248342,"",""
