"decade","metric_name","metric_group","scoring_method","fishing_median","climate_median","depletion_ratio","score","category","deviation"
"1851-1860","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1851-1860","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1861-1870","Total Biomass","Biomass","depletion",88744176014369.9,88744176014369.9,1,1,"good",0.939842240718237
"1861-1870","Baleen Whale Biomass","Biomass","depletion",1395068379622.77,1395068379622.77,1,0.1,"critical",0.171806280821296
"1861-1870","All Whale Biomass","Biomass","depletion",2156276930360.57,2156276930360.57,1,0.25,"bad",0.250656537531255
"1861-1870","Seal Biomass","Biomass","depletion",477664245101.867,477664245101.867,1,1,"good",0.815035007957143
"1861-1870","Fish Biomass","Biomass","depletion",10323498161983.3,10323498161983.3,1,1,"good",1.01225626321454
"1861-1870","Krill Biomass","Biomass","depletion",13287814199644.1,13287814199644.1,1,1,"good",0.815910111341807
"1861-1870","LTL Biomass","Biomass","depletion",70286553174007.2,70286553174007.2,1,1,"good",0.938664571669745
"1861-1870","Apex Predator Biomass","Biomass","depletion",39907728304.2226,39907728304.2226,1,0.1,"critical",0.0821508381185199
"1861-1870","Size Spectrum Slope","Structure","range",-1.37152747177702,-1.37152747177702,1,0.68576373588851,"moderate",-1.37152747177702
"1861-1870","Mean Trophic Level","Trophic","trophic",3.08286443532782,3.08286443532782,1,1,"good",0.998265738788863
"1861-1870","High TL Indicator","Trophic","depletion",0.107635938236031,0.107635938236031,1,1,"good",1.01380609626561
"1861-1870","Large Fish Indicator","Structure","lfi",0.486860272281593,0.486860272281593,1,1,"good",1.62286757427198
"1861-1870","Mean Individual Weight","Structure","depletion",259.509743152475,259.509743152475,1,1,"good",0.788736466759906
"1861-1870","Mean Max Weight","Structure","depletion",1714648.29268183,1714648.29268183,1,0.25,"bad",0.369178762400685
"1861-1870","Predator-Prey Ratio","Structure","default",0.000640700920056202,0.000640700920056202,1,1,"good",-0.276970095921282
"1861-1870","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1861-1870","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1861-1870","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1871-1880","Total Biomass","Biomass","depletion",88649485868684.2,88649485868684.2,1,1,"good",0.941296140458991
"1871-1880","Baleen Whale Biomass","Biomass","depletion",1370345715194.15,1370345715194.15,1,0.1,"critical",0.172807654400684
"1871-1880","All Whale Biomass","Biomass","depletion",2130051292741.4,2130051292741.4,1,0.25,"bad",0.253450429117077
"1871-1880","Seal Biomass","Biomass","depletion",476857925410.272,476857925410.272,0.999999999999999,1,"good",0.823331741032295
"1871-1880","Fish Biomass","Biomass","depletion",10398572552460.3,10398572552460.3,1,1,"good",1.01205564380841
"1871-1880","Krill Biomass","Biomass","depletion",13183139314439.2,13183139314439.2,1,1,"good",0.815132180791679
"1871-1880","LTL Biomass","Biomass","depletion",70215855650860.5,70215855650860.5,1,1,"good",0.939209104388111
"1871-1880","Apex Predator Biomass","Biomass","depletion",39678688937.9,39678688937.9,1,0.1,"critical",0.08307837771858
"1871-1880","Size Spectrum Slope","Structure","range",-1.37048644565007,-1.37048644565007,1,0.685243222825037,"moderate",-1.37048644565007
"1871-1880","Mean Trophic Level","Trophic","trophic",3.08282800147305,3.08282800147305,1,1,"good",0.99790334612952
"1871-1880","High TL Indicator","Trophic","depletion",0.108484453746524,0.108484453746524,1,1,"good",1.01556020950002
"1871-1880","Large Fish Indicator","Structure","lfi",0.486691103832034,0.486691103832034,1,1,"good",1.62230367944011
"1871-1880","Mean Individual Weight","Structure","depletion",261.279117449889,261.279117449889,1,1,"good",0.799336637155223
"1871-1880","Mean Max Weight","Structure","depletion",1692439.6601663,1692439.6601663,1,0.25,"bad",0.368068868084734
"1871-1880","Predator-Prey Ratio","Structure","default",0.000638276971947834,0.000638276971947834,1,1,"good",-0.27698890675721
"1871-1880","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1871-1880","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1871-1880","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1881-1890","Total Biomass","Biomass","depletion",88638805388194.9,88638805388194.9,1,1,"good",0.942366859299172
"1881-1890","Baleen Whale Biomass","Biomass","depletion",1348975150799.25,1348975150799.25,1,0.1,"critical",0.174170807139057
"1881-1890","All Whale Biomass","Biomass","depletion",2088095924131.65,2088095924131.65,1,0.25,"bad",0.254292103960111
"1881-1890","Seal Biomass","Biomass","depletion",475598114137.986,475598114137.986,1,1,"good",0.830582786808648
"1881-1890","Fish Biomass","Biomass","depletion",10367199804539.2,10367199804539.2,1,1,"good",1.01051471116845
"1881-1890","Krill Biomass","Biomass","depletion",13347157342355.5,13347157342355.5,1,1,"good",0.820251206776055
"1881-1890","LTL Biomass","Biomass","depletion",70233126777012.2,70233126777012.2,1,1,"good",0.938226606582708
"1881-1890","Apex Predator Biomass","Biomass","depletion",39442673790.5338,39442673790.5338,1,0.1,"critical",0.0839977281168095
"1881-1890","Size Spectrum Slope","Structure","range",-1.37069417766993,-1.37069417766993,1,0.685347088834964,"moderate",-1.37069417766993
"1881-1890","Mean Trophic Level","Trophic","trophic",3.08002440528119,3.0800244052812,1,1,"good",0.997905501499293
"1881-1890","High TL Indicator","Trophic","depletion",0.107919007773949,0.107919007773949,1,1,"good",1.01245032131904
"1881-1890","Large Fish Indicator","Structure","lfi",0.487213951714417,0.487213951714417,1,1,"good",1.62404650571472
"1881-1890","Mean Individual Weight","Structure","depletion",259.615616796498,259.615616796498,1,1,"good",0.80550211364512
"1881-1890","Mean Max Weight","Structure","depletion",1677562.16837762,1677562.16837762,1,0.25,"bad",0.368645554563198
"1881-1890","Predator-Prey Ratio","Structure","default",0.000633947932018239,0.000633947932018239,1,1,"good",-0.276753095867845
"1881-1890","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1881-1890","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1881-1890","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1891-1900","Total Biomass","Biomass","depletion",88542869993271.9,88542869993271.9,1,1,"good",0.943558191299604
"1891-1900","Baleen Whale Biomass","Biomass","depletion",1334783585015.37,1334783585015.37,1,0.1,"critical",0.176429276325488
"1891-1900","All Whale Biomass","Biomass","depletion",2042798892082.79,2042798892082.79,1,0.25,"bad",0.254588321134212
"1891-1900","Seal Biomass","Biomass","depletion",473582501942.924,473582501942.924,1,1,"good",0.836198599377932
"1891-1900","Fish Biomass","Biomass","depletion",10434492075716,10434492075716,1,1,"good",1.00958261966862
"1891-1900","Krill Biomass","Biomass","depletion",13302407080142.1,13302407080142.1,1,1,"good",0.82230905589397
"1891-1900","LTL Biomass","Biomass","depletion",70210034203895.3,70210034203895.3,1,1,"good",0.939223221505736
"1891-1900","Apex Predator Biomass","Biomass","depletion",39302058966.8157,39302058966.8157,1,0.1,"critical",0.0851282718463461
"1891-1900","Size Spectrum Slope","Structure","range",-1.36950209769965,-1.36950209769965,1,0.684751048849824,"moderate",-1.36950209769965
"1891-1900","Mean Trophic Level","Trophic","trophic",3.08070566475339,3.08070566475339,1,1,"good",0.997812888175145
"1891-1900","High TL Indicator","Trophic","depletion",0.108769419577882,0.108769419577882,1,1,"good",1.01433148990906
"1891-1900","Large Fish Indicator","Structure","lfi",0.487301911844785,0.487301911844785,1,1,"good",1.62433970614928
"1891-1900","Mean Individual Weight","Structure","depletion",261.211654653631,261.211654653631,1,1,"good",0.815367994168234
"1891-1900","Mean Max Weight","Structure","depletion",1658093.44519056,1658093.44519056,1,0.25,"bad",0.36809622215253
"1891-1900","Predator-Prey Ratio","Structure","default",0.00063065954202192,0.00063065954202192,1,1,"good",-0.276801105223783
"1891-1900","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1891-1900","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1891-1900","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1901-1910","Total Biomass","Biomass","depletion",88384982506188.5,88384982506188.5,1,1,"good",0.942597395182843
"1901-1910","Baleen Whale Biomass","Biomass","depletion",1311293839964.67,1311293839964.67,1,0.1,"critical",0.17741765026134
"1901-1910","All Whale Biomass","Biomass","depletion",2014046817929.67,2014046817929.67,1,0.25,"bad",0.256840375195066
"1901-1910","Seal Biomass","Biomass","depletion",472746698788.982,472746698788.982,1,1,"good",0.84362863886317
"1901-1910","Fish Biomass","Biomass","depletion",10400152784655.5,10400152784655.5,1,1,"good",1.00760441089083
"1901-1910","Krill Biomass","Biomass","depletion",13488195999283.6,13488195999283.6,1,1,"good",0.826629952311587
"1901-1910","LTL Biomass","Biomass","depletion",70264846637855.9,70264846637855.9,1,1,"good",0.93831826561724
"1901-1910","Apex Predator Biomass","Biomass","depletion",39103317955.8222,39103317955.8221,1,0.1,"critical",0.0861438389923496
"1901-1910","Size Spectrum Slope","Structure","range",-1.37005329402724,-1.37005329402724,1,0.685026647013619,"moderate",-1.37005329402724
"1901-1910","Mean Trophic Level","Trophic","trophic",3.07894811390415,3.07894811390415,1,1,"good",0.998220883445014
"1901-1910","High TL Indicator","Trophic","depletion",0.108361868453634,0.108361868453634,1,1,"good",1.01274175240638
"1901-1910","Large Fish Indicator","Structure","lfi",0.487872489200363,0.487872489200363,1,1,"good",1.62624163066788
"1901-1910","Mean Individual Weight","Structure","depletion",259.471692281652,259.471692281652,1,1,"good",0.821444117840786
"1901-1910","Mean Max Weight","Structure","depletion",1634882.51611648,1634882.51611648,1,0.25,"bad",0.366812781266838
"1901-1910","Predator-Prey Ratio","Structure","default",0.000626797157365715,0.000626797157365715,1,1,"good",-0.276519251865805
"1901-1910","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1901-1910","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1901-1910","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1911-1920","Total Biomass","Biomass","depletion",88444609925161.9,88444609925161.9,1,1,"good",0.943731508662426
"1911-1920","Baleen Whale Biomass","Biomass","depletion",1294901299910.82,1294901299910.82,1,0.1,"critical",0.179316231131165
"1911-1920","All Whale Biomass","Biomass","depletion",1968378024910.5,1968378024910.5,1,0.25,"bad",0.256822759861365
"1911-1920","Seal Biomass","Biomass","depletion",472249248427.812,472249248427.812,1,1,"good",0.85139303668876
"1911-1920","Fish Biomass","Biomass","depletion",10478022749717.2,10478022749717.2,1,1,"good",1.00705511251843
"1911-1920","Krill Biomass","Biomass","depletion",13573695848446.8,13573695848446.8,1,1,"good",0.828253492240744
"1911-1920","LTL Biomass","Biomass","depletion",70284337087123.2,70284337087123.2,1,1,"good",0.93796090460404
"1911-1920","Apex Predator Biomass","Biomass","depletion",38861546881.0282,38861546881.0282,1,0.1,"critical",0.0870701561453402
"1911-1920","Size Spectrum Slope","Structure","range",-1.36906514044722,-1.36906514044722,1,0.684532570223609,"moderate",-1.36906514044722
"1911-1920","Mean Trophic Level","Trophic","trophic",3.08022651698139,3.08022651698139,1,1,"good",0.998455722868406
"1911-1920","High TL Indicator","Trophic","depletion",0.109068263571068,0.109068263571067,1,1,"good",1.01338350815584
"1911-1920","Large Fish Indicator","Structure","lfi",0.48773410065551,0.48773410065551,1,1,"good",1.62578033551837
"1911-1920","Mean Individual Weight","Structure","depletion",261.152420781009,261.152420781009,1,1,"good",0.831979997835849
"1911-1920","Mean Max Weight","Structure","depletion",1609497.11672749,1609497.11672749,1,0.25,"bad",0.364959603360202
"1911-1920","Predator-Prey Ratio","Structure","default",0.000624032513901059,0.000624032513901059,1,1,"good",-0.276507293753416
"1911-1920","Total Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1911-1920","Whale Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1911-1920","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1921-1930","Total Biomass","Biomass","depletion",88321902617789.1,88321902617789.1,1,1,"good",0.941385946685118
"1921-1930","Baleen Whale Biomass","Biomass","depletion",1260912717243.36,1260912717243.36,1,0.1,"critical",0.17869067648338
"1921-1930","All Whale Biomass","Biomass","depletion",1922343813767.41,1922343813767.41,1,0.25,"bad",0.256588427147655
"1921-1930","Seal Biomass","Biomass","depletion",471457258003.05,471457258003.05,1,1,"good",0.858398315057112
"1921-1930","Fish Biomass","Biomass","depletion",10455763224119.6,10455763224119.6,1,1,"good",1.00519436374115
"1921-1930","Krill Biomass","Biomass","depletion",13624665810806.2,13624665810806.2,1,1,"good",0.815799867249093
"1921-1930","LTL Biomass","Biomass","depletion",70362026404973.5,70362026404973.5,1,1,"good",0.935450651600819
"1921-1930","Apex Predator Biomass","Biomass","depletion",38647681807.3755,38647681807.3755,1,0.1,"critical",0.0880655290489016
"1921-1930","Size Spectrum Slope","Structure","range",-1.36970897463398,-1.36970897463398,1,0.684854487316989,"moderate",-1.36970897463398
"1921-1930","Mean Trophic Level","Trophic","trophic",3.07779356370836,3.07779356370836,1,1,"good",0.998782104753302
"1921-1930","High TL Indicator","Trophic","depletion",0.10861634189798,0.10861634189798,1,1,"good",1.01159909284029
"1921-1930","Large Fish Indicator","Structure","lfi",0.48835234412607,0.48835234412607,1,1,"good",1.6278411470869
"1921-1930","Mean Individual Weight","Structure","depletion",259.39534032277,259.39534032277,1,1,"good",0.837806656595838
"1921-1930","Mean Max Weight","Structure","depletion",1585094.63660857,1585094.63660857,1,0.25,"bad",0.363384742761933
"1921-1930","Predator-Prey Ratio","Structure","default",0.000622354386856679,0.00062235438685668,1,1,"good",-0.27613039370748
"1921-1930","Total Exploitation Rate","Exploitation","exploitation",0.000961061925669938,0,NA,1,"good",0.00480530962834969
"1921-1930","Whale Exploitation Rate","Exploitation","exploitation",0.000628765688654685,0,NA,1,"good",0.0157191422163671
"1921-1930","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1931-1940","Total Biomass","Biomass","depletion",87138033450153.2,88130314192275.5,0.988740755650123,1,"good",0.925871560647323
"1931-1940","Baleen Whale Biomass","Biomass","depletion",965751423929.353,1246045344013.97,0.775053194146464,0.1,"critical",0.140043966635702
"1931-1940","All Whale Biomass","Biomass","depletion",1422234033744.62,1899816229442.96,0.748616635495125,0.1,"critical",0.194181424688776
"1931-1940","Seal Biomass","Biomass","depletion",470510457782.718,470506941076.478,1.00000747429195,1,"good",0.864859078394846
"1931-1940","Fish Biomass","Biomass","depletion",10734122155869.8,10528877615785.6,1.01949348710982,1,"good",1.02233820270672
"1931-1940","Krill Biomass","Biomass","depletion",13392085604256.9,13591658427985,0.985316521542564,1,"good",0.782110383820107
"1931-1940","LTL Biomass","Biomass","depletion",70186044000208.7,70367709199644.8,0.997418344273214,1,"good",0.928577695503203
"1931-1940","Apex Predator Biomass","Biomass","depletion",33589826341.0361,38510596568.3041,0.87222295508873,0.1,"critical",0.0778412304133455
"1931-1940","Size Spectrum Slope","Structure","range",-1.36816047122349,-1.36885579454777,0.999492040485896,0.684080235611747,"moderate",-1.36816047122349
"1931-1940","Mean Trophic Level","Trophic","trophic",3.07278932395183,3.07842981145156,0.99816773880023,1,"good",0.997142351330531
"1931-1940","High TL Indicator","Trophic","depletion",0.110548685244563,0.109248674385004,1.01189955728871,1,"good",1.02405524176456
"1931-1940","Large Fish Indicator","Structure","lfi",0.480860974236126,0.487915869962504,0.985540753722727,1,"good",1.60286991412042
"1931-1940","Mean Individual Weight","Structure","depletion",261.851675033952,261.218499030265,1.00242393247813,1,"good",0.850212702133464
"1931-1940","Mean Max Weight","Structure","depletion",1222866.86740235,1554476.85196493,0.786674221527703,0.25,"bad",0.28345088522205
"1931-1940","Predator-Prey Ratio","Structure","default",0.000530299321242533,0.00061925440882376,0.856351305192656,1,"good",-0.280642475580489
"1931-1940","Total Exploitation Rate","Exploitation","exploitation",0.0400402615221975,0,NA,1,"good",0.200201307610987
"1931-1940","Whale Exploitation Rate","Exploitation","exploitation",0.0282254249646452,0,NA,0.75,"moderate",0.705635624116129
"1931-1940","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1941-1950","Total Biomass","Biomass","depletion",85978152766933,88160248843240.6,0.975248526349017,1,"good",0.907404805668881
"1941-1950","Baleen Whale Biomass","Biomass","depletion",829963461788.441,1227363184901.17,0.676216683047464,0.1,"critical",0.123136517612136
"1941-1950","All Whale Biomass","Biomass","depletion",990847759557.904,1878606091914.31,0.527437744305526,0.1,"critical",0.138363936358341
"1941-1950","Seal Biomass","Biomass","depletion",470045437505.658,469973574184.043,1.00015290928163,1,"good",0.871990573706531
"1941-1950","Fish Biomass","Biomass","depletion",11021406248956.2,10491028622235.5,1.05055535027295,1,"good",1.04766885096256
"1941-1950","Krill Biomass","Biomass","depletion",13051460896823,13622072067439.7,0.958111279415368,0.75,"moderate",0.726776237094423
"1941-1950","LTL Biomass","Biomass","depletion",69758497329317.7,70362149164249.4,0.991420787424748,1,"good",0.913435300970551
"1941-1950","Apex Predator Biomass","Biomass","depletion",23273394200.3071,38349476124.7698,0.606876457049563,0.1,"critical",0.0548498680437389
"1941-1950","Size Spectrum Slope","Structure","range",-1.36344904075038,-1.36936970471761,0.995676358293287,0.68172452037519,"moderate",-1.36344904075038
"1941-1950","Mean Trophic Level","Trophic","trophic",3.06904404674746,3.07576953369886,0.997813396979938,1,"good",0.997098432481766
"1941-1950","High TL Indicator","Trophic","depletion",0.111658384076765,0.10887367543976,1.02557742838897,1,"good",1.03704352472638
"1941-1950","Large Fish Indicator","Structure","lfi",0.482514779321729,0.488554319647851,0.987637934855483,1,"good",1.6083825977391
"1941-1950","Mean Individual Weight","Structure","depletion",262.480525789641,259.380140082564,1.01195305741639,1,"good",0.863787458443621
"1941-1950","Mean Max Weight","Structure","depletion",961654.924480022,1532597.96129011,0.627467182372162,0.25,"bad",0.225430308628286
"1941-1950","Predator-Prey Ratio","Structure","default",0.000343141804601316,0.000617500676578877,0.555694621263277,1,"good",-0.28987154572094
"1941-1950","Total Exploitation Rate","Exploitation","exploitation",0.0010050819843304,0,NA,1,"good",0.00502540992165199
"1941-1950","Whale Exploitation Rate","Exploitation","exploitation",0.00652513901253183,0,NA,1,"good",0.163128475313296
"1941-1950","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1951-1960","Total Biomass","Biomass","depletion",85469823327126.5,88059094839548.2,0.97059620568279,1,"good",0.900760532853287
"1951-1960","Baleen Whale Biomass","Biomass","depletion",784402318670.124,1196537539451.4,0.655560141497746,0.1,"critical",0.119053630741605
"1951-1960","All Whale Biomass","Biomass","depletion",827095206403.212,1857639894444.96,0.445239795331989,0.1,"critical",0.118113454387963
"1951-1960","Seal Biomass","Biomass","depletion",468645736344.805,468408687318.082,1.00050607307922,1,"good",0.877145389628057
"1951-1960","Fish Biomass","Biomass","depletion",11145112444478.9,10577750810087.9,1.05363726604809,1,"good",1.04904881838437
"1951-1960","Krill Biomass","Biomass","depletion",13069426242516.4,13593138212170.8,0.961472328061417,0.75,"moderate",0.718622865479034
"1951-1960","LTL Biomass","Biomass","depletion",69807116524950.1,70344831843540.9,0.992356008188536,1,"good",0.911772725244393
"1951-1960","Apex Predator Biomass","Biomass","depletion",16241332512.9008,38238164830.9599,0.424741422207345,0.1,"critical",0.0389257836554357
"1951-1960","Size Spectrum Slope","Structure","range",-1.36123314773675,-1.3686933731598,0.99454938149819,0.680616573868373,"moderate",-1.36123314773675
"1951-1960","Mean Trophic Level","Trophic","trophic",3.06667425316125,3.07747934236821,0.996488980751811,1,"good",0.996071678062801
"1951-1960","High TL Indicator","Trophic","depletion",0.112225076522142,0.10943761683301,1.02547076379949,1,"good",1.03616973318585
"1951-1960","Large Fish Indicator","Structure","lfi",0.483416519182262,0.488229683817397,0.99014159770561,1,"good",1.61138839727421
"1951-1960","Mean Individual Weight","Structure","depletion",263.016471859676,260.953725562039,1.00790464398695,1,"good",0.868216065867018
"1951-1960","Mean Max Weight","Structure","depletion",788805.623410906,1511910.09623365,0.521727862903961,0.1,"critical",0.186899346109885
"1951-1960","Predator-Prey Ratio","Structure","default",0.000247304298819217,0.000615302246772711,0.401923282608408,1,"good",-0.295025561930002
"1951-1960","Total Exploitation Rate","Exploitation","exploitation",0.00144919762805922,0,NA,1,"good",0.00724598814029608
"1951-1960","Whale Exploitation Rate","Exploitation","exploitation",0.0102296462336301,0,NA,1,"good",0.255741155840752
"1951-1960","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1961-1970","Total Biomass","Biomass","depletion",85214435295989.3,88018593441433.8,0.968141297925758,1,"good",0.897228537498195
"1961-1970","Baleen Whale Biomass","Biomass","depletion",727891602481.209,1177930298377.2,0.617941149390593,0.1,"critical",0.11300348940063
"1961-1970","All Whale Biomass","Biomass","depletion",772425236314.901,1808431606605.23,0.427124384186632,0.1,"critical",0.112791383650911
"1961-1970","Seal Biomass","Biomass","depletion",467628275613.722,467086998022.988,1.00115883677564,1,"good",0.882801501539609
"1961-1970","Fish Biomass","Biomass","depletion",11174814182028.5,10547743375658.1,1.05945070751508,1,"good",1.05223012562061
"1961-1970","Krill Biomass","Biomass","depletion",13146619468240.4,13835659011767.7,0.950198285246749,0.75,"moderate",0.712515203989913
"1961-1970","LTL Biomass","Biomass","depletion",69699645048200,70413572996297.9,0.989860932804312,1,"good",0.907382275794878
"1961-1970","Apex Predator Biomass","Biomass","depletion",14613527965.1536,38141808554.955,0.383136734171855,0.1,"critical",0.0356176427811928
"1961-1970","Size Spectrum Slope","Structure","range",-1.36157650732763,-1.36934134109722,0.994329511907257,0.680788253663813,"moderate",-1.36157650732763
"1961-1970","Mean Trophic Level","Trophic","trophic",3.06408905560621,3.07453849322409,0.996601298815771,1,"good",0.996210268275021
"1961-1970","High TL Indicator","Trophic","depletion",0.112220648576968,0.10914066570996,1.02822030493375,1,"good",1.03853078583357
"1961-1970","Large Fish Indicator","Structure","lfi",0.483646832185184,0.489106197847462,0.988838077116372,1,"good",1.61215610728395
"1961-1970","Mean Individual Weight","Structure","depletion",261.97507197406,259.326974831095,1.01021142187268,1,"good",0.875019653886008
"1961-1970","Mean Max Weight","Structure","depletion",722106.937769978,1490977.840296,0.484317686188159,0.1,"critical",0.172953968532349
"1961-1970","Predator-Prey Ratio","Structure","default",0.00022626975417262,0.000612008971748057,0.369716400604937,1,"good",-0.296026901979225
"1961-1970","Total Exploitation Rate","Exploitation","exploitation",0.000257736750617453,0,NA,1,"good",0.00128868375308726
"1961-1970","Whale Exploitation Rate","Exploitation","exploitation",0.00257033243851479,0,NA,1,"good",0.0642583109628697
"1961-1970","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
"1971-1980","Total Biomass","Biomass","depletion",84409794778868.6,87983787575162.3,0.959378961797473,1,"good",0.886854773648982
"1971-1980","Baleen Whale Biomass","Biomass","depletion",687409386731.74,1165825994795.7,0.58963292103656,0.1,"critical",0.109146208744047
"1971-1980","All Whale Biomass","Biomass","depletion",731718897502.942,1781276249749.61,0.410783502899002,0.1,"critical",0.109241484645383
"1971-1980","Seal Biomass","Biomass","depletion",466234715886.516,466044770284.464,1.00040756943144,1,"good",0.887484239852725
"1971-1980","Fish Biomass","Biomass","depletion",11274626818830.8,10624706375292,1.06117067338917,1,"good",1.05289769722623
"1971-1980","Krill Biomass","Biomass","depletion",12951569429208.3,13799086914559.9,0.938581625682975,0.75,"moderate",0.690547735466317
"1971-1980","LTL Biomass","Biomass","depletion",69497844759804.7,70376121566379.8,0.987520244267131,1,"good",0.90159786649106
"1971-1980","Apex Predator Biomass","Biomass","depletion",14076790045.7662,38059600415.5443,0.369861740324972,0.1,"critical",0.0348894170255265
