"Year","signal","snr","metric","window","align","baseline"
1929,"climate",-0.0516601957694602,"Biomass","10yr","trailing","base1841_2010"
1929,"combined",-0.0516601957694602,"Biomass","10yr","trailing","base1841_2010"
1930,"fishing",9.14338288082677e-15,"Biomass","10yr","trailing","base1841_2010"
1930,"climate",-0.403601732846976,"Biomass","10yr","trailing","base1841_2010"
1930,"combined",-0.403601732846967,"Biomass","10yr","trailing","base1841_2010"
1931,"fishing",-0.0857516001067592,"Biomass","10yr","trailing","base1841_2010"
1931,"climate",0.0313068915540131,"Biomass","10yr","trailing","base1841_2010"
1931,"combined",-0.054444708552746,"Biomass","10yr","trailing","base1841_2010"
1932,"fishing",-0.393744729345507,"Biomass","10yr","trailing","base1841_2010"
1932,"climate",1.04166202984139,"Biomass","10yr","trailing","base1841_2010"
1932,"combined",0.647917300495887,"Biomass","10yr","trailing","base1841_2010"
1933,"fishing",-0.555930717962266,"Biomass","10yr","trailing","base1841_2010"
1933,"climate",0.658629967796498,"Biomass","10yr","trailing","base1841_2010"
1933,"combined",0.102699249834231,"Biomass","10yr","trailing","base1841_2010"
1934,"fishing",-0.830541287011917,"Biomass","10yr","trailing","base1841_2010"
1934,"climate",-0.231349948879452,"Biomass","10yr","trailing","base1841_2010"
1934,"combined",-1.06189123589137,"Biomass","10yr","trailing","base1841_2010"
1935,"fishing",-1.01496575188603,"Biomass","10yr","trailing","base1841_2010"
1935,"climate",-0.0130068792654183,"Biomass","10yr","trailing","base1841_2010"
1935,"combined",-1.02797263115145,"Biomass","10yr","trailing","base1841_2010"
1936,"fishing",-1.13400899987323,"Biomass","10yr","trailing","base1841_2010"
1936,"climate",-0.412288811455589,"Biomass","10yr","trailing","base1841_2010"
1936,"combined",-1.54629781132882,"Biomass","10yr","trailing","base1841_2010"
1937,"fishing",-1.22639098152421,"Biomass","10yr","trailing","base1841_2010"
1937,"climate",-0.778488601522369,"Biomass","10yr","trailing","base1841_2010"
1937,"combined",-2.00487958304658,"Biomass","10yr","trailing","base1841_2010"
1938,"fishing",-1.31318664337987,"Biomass","10yr","trailing","base1841_2010"
1938,"climate",-1.15078610977205,"Biomass","10yr","trailing","base1841_2010"
1938,"combined",-2.46397275315193,"Biomass","10yr","trailing","base1841_2010"
1939,"fishing",-1.35549197400874,"Biomass","10yr","trailing","base1841_2010"
1939,"climate",-1.62042444426303,"Biomass","10yr","trailing","base1841_2010"
1939,"combined",-2.97591641827178,"Biomass","10yr","trailing","base1841_2010"
1940,"fishing",-1.49158294571537,"Biomass","10yr","trailing","base1841_2010"
1940,"climate",0.893204537591844,"Biomass","10yr","trailing","base1841_2010"
1940,"combined",-0.598378408123524,"Biomass","10yr","trailing","base1841_2010"
1941,"fishing",-1.58054400410059,"Biomass","10yr","trailing","base1841_2010"
1941,"climate",-0.449063557042403,"Biomass","10yr","trailing","base1841_2010"
1941,"combined",-2.029607561143,"Biomass","10yr","trailing","base1841_2010"
1942,"fishing",-1.57143207908419,"Biomass","10yr","trailing","base1841_2010"
1942,"climate",1.18481783902232,"Biomass","10yr","trailing","base1841_2010"
1942,"combined",-0.386614240061864,"Biomass","10yr","trailing","base1841_2010"
1943,"fishing",-1.57791492687882,"Biomass","10yr","trailing","base1841_2010"
1943,"climate",1.57432165885228,"Biomass","10yr","trailing","base1841_2010"
1943,"combined",-0.00359326802654014,"Biomass","10yr","trailing","base1841_2010"
1944,"fishing",-1.5839120722577,"Biomass","10yr","trailing","base1841_2010"
1944,"climate",0.575940075587636,"Biomass","10yr","trailing","base1841_2010"
1944,"combined",-1.00797199667006,"Biomass","10yr","trailing","base1841_2010"
1945,"fishing",-1.57376129039223,"Biomass","10yr","trailing","base1841_2010"
1945,"climate",-1.49184560548848,"Biomass","10yr","trailing","base1841_2010"
1945,"combined",-3.06560689588071,"Biomass","10yr","trailing","base1841_2010"
1946,"fishing",-1.56108598328487,"Biomass","10yr","trailing","base1841_2010"
1946,"climate",-0.728826855812381,"Biomass","10yr","trailing","base1841_2010"
1946,"combined",-2.28991283909726,"Biomass","10yr","trailing","base1841_2010"
1947,"fishing",-1.58509167837426,"Biomass","10yr","trailing","base1841_2010"
1947,"climate",-1.75200328261202,"Biomass","10yr","trailing","base1841_2010"
1947,"combined",-3.33709496098627,"Biomass","10yr","trailing","base1841_2010"
1948,"fishing",-1.67207443071737,"Biomass","10yr","trailing","base1841_2010"
1948,"climate",-0.123051971078595,"Biomass","10yr","trailing","base1841_2010"
1948,"combined",-1.79512640179596,"Biomass","10yr","trailing","base1841_2010"
1949,"fishing",-1.78665956606258,"Biomass","10yr","trailing","base1841_2010"
1949,"climate",-0.19038968941415,"Biomass","10yr","trailing","base1841_2010"
1949,"combined",-1.97704925547673,"Biomass","10yr","trailing","base1841_2010"
1950,"fishing",-1.79787714577816,"Biomass","10yr","trailing","base1841_2010"
1950,"climate",-0.542350795558734,"Biomass","10yr","trailing","base1841_2010"
1950,"combined",-2.3402279413369,"Biomass","10yr","trailing","base1841_2010"
1951,"fishing",-1.81255932108398,"Biomass","10yr","trailing","base1841_2010"
1951,"climate",-0.106436213653408,"Biomass","10yr","trailing","base1841_2010"
1951,"combined",-1.91899553473739,"Biomass","10yr","trailing","base1841_2010"
1952,"fishing",-1.84826378738796,"Biomass","10yr","trailing","base1841_2010"
1952,"climate",0.903946018054883,"Biomass","10yr","trailing","base1841_2010"
1952,"combined",-0.944317769333079,"Biomass","10yr","trailing","base1841_2010"
1953,"fishing",-1.8909155830335,"Biomass","10yr","trailing","base1841_2010"
1953,"climate",0.52056989390232,"Biomass","10yr","trailing","base1841_2010"
1953,"combined",-1.37034568913118,"Biomass","10yr","trailing","base1841_2010"
1954,"fishing",-1.90505825366034,"Biomass","10yr","trailing","base1841_2010"
1954,"climate",-0.368365867193662,"Biomass","10yr","trailing","base1841_2010"
1954,"combined",-2.27342412085401,"Biomass","10yr","trailing","base1841_2010"
1955,"fishing",-1.91325364611489,"Biomass","10yr","trailing","base1841_2010"
1955,"climate",-0.148704073882472,"Biomass","10yr","trailing","base1841_2010"
1955,"combined",-2.06195771999736,"Biomass","10yr","trailing","base1841_2010"
1956,"fishing",-1.93098373295103,"Biomass","10yr","trailing","base1841_2010"
1956,"climate",-0.547875877754442,"Biomass","10yr","trailing","base1841_2010"
1956,"combined",-2.47885961070547,"Biomass","10yr","trailing","base1841_2010"
1957,"fishing",-1.95482909956083,"Biomass","10yr","trailing","base1841_2010"
1957,"climate",-0.913731910444493,"Biomass","10yr","trailing","base1841_2010"
1957,"combined",-2.86856101000532,"Biomass","10yr","trailing","base1841_2010"
1958,"fishing",-1.95667282766779,"Biomass","10yr","trailing","base1841_2010"
1958,"climate",-1.2857211560127,"Biomass","10yr","trailing","base1841_2010"
1958,"combined",-3.24239398368049,"Biomass","10yr","trailing","base1841_2010"
1959,"fishing",-1.97710620540123,"Biomass","10yr","trailing","base1841_2010"
1959,"climate",-1.75498958261872,"Biomass","10yr","trailing","base1841_2010"
1959,"combined",-3.73209578801996,"Biomass","10yr","trailing","base1841_2010"
1960,"fishing",-2.00834166954096,"Biomass","10yr","trailing","base1841_2010"
1960,"climate",0.758758571404805,"Biomass","10yr","trailing","base1841_2010"
1960,"combined",-1.24958309813615,"Biomass","10yr","trailing","base1841_2010"
1961,"fishing",-2.04879866574544,"Biomass","10yr","trailing","base1841_2010"
1961,"climate",-0.584906429283524,"Biomass","10yr","trailing","base1841_2010"
1961,"combined",-2.63370509502897,"Biomass","10yr","trailing","base1841_2010"
1962,"fishing",-2.04078776036065,"Biomass","10yr","trailing","base1841_2010"
1962,"climate",1.04966861729655,"Biomass","10yr","trailing","base1841_2010"
1962,"combined",-0.991119143064094,"Biomass","10yr","trailing","base1841_2010"
1963,"fishing",-2.04674432107494,"Biomass","10yr","trailing","base1841_2010"
1963,"climate",1.439319155475,"Biomass","10yr","trailing","base1841_2010"
1963,"combined",-0.607425165599938,"Biomass","10yr","trailing","base1841_2010"
1964,"fishing",-2.04638615778806,"Biomass","10yr","trailing","base1841_2010"
1964,"climate",0.441070072815588,"Biomass","10yr","trailing","base1841_2010"
1964,"combined",-1.60531608497248,"Biomass","10yr","trailing","base1841_2010"
1965,"fishing",-2.02703500038163,"Biomass","10yr","trailing","base1841_2010"
1965,"climate",-1.62545752298827,"Biomass","10yr","trailing","base1841_2010"
1965,"combined",-3.6524925233699,"Biomass","10yr","trailing","base1841_2010"
1966,"fishing",-2.00203149757628,"Biomass","10yr","trailing","base1841_2010"
1966,"climate",-0.860537492484705,"Biomass","10yr","trailing","base1841_2010"
1966,"combined",-2.86256899006098,"Biomass","10yr","trailing","base1841_2010"
1967,"fishing",-2.01120975013696,"Biomass","10yr","trailing","base1841_2010"
1967,"climate",-1.88394414116008,"Biomass","10yr","trailing","base1841_2010"
1967,"combined",-3.89515389129703,"Biomass","10yr","trailing","base1841_2010"
1968,"fishing",-2.02831850351826,"Biomass","10yr","trailing","base1841_2010"
1968,"climate",-0.255002035195173,"Biomass","10yr","trailing","base1841_2010"
1968,"combined",-2.28332053871343,"Biomass","10yr","trailing","base1841_2010"
1969,"fishing",-2.04241877874505,"Biomass","10yr","trailing","base1841_2010"
1969,"climate",-0.322767723030426,"Biomass","10yr","trailing","base1841_2010"
1969,"combined",-2.36518650177547,"Biomass","10yr","trailing","base1841_2010"
1970,"fishing",-2.04264293866887,"Biomass","10yr","trailing","base1841_2010"
1970,"climate",-0.674735581329124,"Biomass","10yr","trailing","base1841_2010"
1970,"combined",-2.71737851999799,"Biomass","10yr","trailing","base1841_2010"
1971,"fishing",-2.03207539367585,"Biomass","10yr","trailing","base1841_2010"
1971,"climate",-0.237832911747694,"Biomass","10yr","trailing","base1841_2010"
1971,"combined",-2.26990830542355,"Biomass","10yr","trailing","base1841_2010"
1972,"fishing",-2.03506637227283,"Biomass","10yr","trailing","base1841_2010"
1972,"climate",0.772609202160598,"Biomass","10yr","trailing","base1841_2010"
1972,"combined",-1.26245717011223,"Biomass","10yr","trailing","base1841_2010"
1973,"fishing",-2.09029485896664,"Biomass","10yr","trailing","base1841_2010"
1973,"climate",0.388940871739293,"Biomass","10yr","trailing","base1841_2010"
1973,"combined",-1.70135398722735,"Biomass","10yr","trailing","base1841_2010"
1974,"fishing",-2.11599125906227,"Biomass","10yr","trailing","base1841_2010"
1974,"climate",-0.498967162121879,"Biomass","10yr","trailing","base1841_2010"
1974,"combined",-2.61495842118415,"Biomass","10yr","trailing","base1841_2010"
1975,"fishing",-2.11010067121735,"Biomass","10yr","trailing","base1841_2010"
1975,"climate",-0.278026908688673,"Biomass","10yr","trailing","base1841_2010"
1975,"combined",-2.38812757990602,"Biomass","10yr","trailing","base1841_2010"
1976,"fishing",-2.13334075960791,"Biomass","10yr","trailing","base1841_2010"
1976,"climate",-0.677097180168491,"Biomass","10yr","trailing","base1841_2010"
1976,"combined",-2.8104379397764,"Biomass","10yr","trailing","base1841_2010"
1977,"fishing",-2.15871494760069,"Biomass","10yr","trailing","base1841_2010"
1977,"climate",-1.04263339966977,"Biomass","10yr","trailing","base1841_2010"
1977,"combined",-3.20134834727046,"Biomass","10yr","trailing","base1841_2010"
1978,"fishing",-2.21041238280766,"Biomass","10yr","trailing","base1841_2010"
1978,"climate",-1.41434340193132,"Biomass","10yr","trailing","base1841_2010"
1978,"combined",-3.62475578473898,"Biomass","10yr","trailing","base1841_2010"
1979,"fishing",-2.30688332225856,"Biomass","10yr","trailing","base1841_2010"
1979,"climate",-1.88329133936761,"Biomass","10yr","trailing","base1841_2010"
1979,"combined",-4.19017466162617,"Biomass","10yr","trailing","base1841_2010"
1980,"fishing",-2.45483485513115,"Biomass","10yr","trailing","base1841_2010"
1980,"climate",0.630578587229457,"Biomass","10yr","trailing","base1841_2010"
1980,"combined",-1.82425626790169,"Biomass","10yr","trailing","base1841_2010"
1981,"fishing",-2.41272910345747,"Biomass","10yr","trailing","base1841_2010"
1981,"climate",-0.714430242692707,"Biomass","10yr","trailing","base1841_2010"
1981,"combined",-3.12715934615018,"Biomass","10yr","trailing","base1841_2010"
1982,"fishing",-2.34938963729474,"Biomass","10yr","trailing","base1841_2010"
1982,"climate",-1.02110531659678,"Biomass","10yr","trailing","base1841_2010"
1982,"combined",-3.37049495389152,"Biomass","10yr","trailing","base1841_2010"
1983,"fishing",-2.31793991689303,"Biomass","10yr","trailing","base1841_2010"
1983,"climate",-0.0320360310273445,"Biomass","10yr","trailing","base1841_2010"
1983,"combined",-2.34997594792037,"Biomass","10yr","trailing","base1841_2010"
1984,"fishing",-2.31558293325482,"Biomass","10yr","trailing","base1841_2010"
1984,"climate",0.847927020678443,"Biomass","10yr","trailing","base1841_2010"
1984,"combined",-1.46765591257638,"Biomass","10yr","trailing","base1841_2010"
1985,"fishing",-2.30485108163874,"Biomass","10yr","trailing","base1841_2010"
1985,"climate",-0.770430919146313,"Biomass","10yr","trailing","base1841_2010"
1985,"combined",-3.07528200078505,"Biomass","10yr","trailing","base1841_2010"
1986,"fishing",-2.24623552300185,"Biomass","10yr","trailing","base1841_2010"
1986,"climate",-0.242901804124536,"Biomass","10yr","trailing","base1841_2010"
1986,"combined",-2.48913732712639,"Biomass","10yr","trailing","base1841_2010"
1987,"fishing",-2.21888823328141,"Biomass","10yr","trailing","base1841_2010"
1987,"climate",-1.42376645733809,"Biomass","10yr","trailing","base1841_2010"
1987,"combined",-3.6426546906195,"Biomass","10yr","trailing","base1841_2010"
1988,"fishing",-2.20454235504051,"Biomass","10yr","trailing","base1841_2010"
1988,"climate",-1.11412086698151,"Biomass","10yr","trailing","base1841_2010"
1988,"combined",-3.31866322202202,"Biomass","10yr","trailing","base1841_2010"
1989,"fishing",-2.19476492603708,"Biomass","10yr","trailing","base1841_2010"
1989,"climate",-0.175143575356858,"Biomass","10yr","trailing","base1841_2010"
1989,"combined",-2.36990850139394,"Biomass","10yr","trailing","base1841_2010"
1990,"fishing",-2.19517054133932,"Biomass","10yr","trailing","base1841_2010"
1990,"climate",1.70749007247519,"Biomass","10yr","trailing","base1841_2010"
1990,"combined",-0.487680468864128,"Biomass","10yr","trailing","base1841_2010"
1991,"fishing",-2.18917102970849,"Biomass","10yr","trailing","base1841_2010"
1991,"climate",-0.326914850701918,"Biomass","10yr","trailing","base1841_2010"
1991,"combined",-2.51608588041041,"Biomass","10yr","trailing","base1841_2010"
1992,"fishing",-2.14817085098172,"Biomass","10yr","trailing","base1841_2010"
1992,"climate",-0.496728810186958,"Biomass","10yr","trailing","base1841_2010"
1992,"combined",-2.64489966116868,"Biomass","10yr","trailing","base1841_2010"
1993,"fishing",-2.13310761493816,"Biomass","10yr","trailing","base1841_2010"
1993,"climate",0.717742389691309,"Biomass","10yr","trailing","base1841_2010"
1993,"combined",-1.41536522524685,"Biomass","10yr","trailing","base1841_2010"
1994,"fishing",-2.14095895273517,"Biomass","10yr","trailing","base1841_2010"
1994,"climate",1.79790253353121,"Biomass","10yr","trailing","base1841_2010"
1994,"combined",-0.343056419203963,"Biomass","10yr","trailing","base1841_2010"
1995,"fishing",-2.12800373823376,"Biomass","10yr","trailing","base1841_2010"
1995,"climate",0.696252416727073,"Biomass","10yr","trailing","base1841_2010"
1995,"combined",-1.43175132150668,"Biomass","10yr","trailing","base1841_2010"
1996,"fishing",-2.09496649661342,"Biomass","10yr","trailing","base1841_2010"
1996,"climate",-0.0318533263097392,"Biomass","10yr","trailing","base1841_2010"
1996,"combined",-2.12681982292316,"Biomass","10yr","trailing","base1841_2010"
1997,"fishing",-2.07654979062199,"Biomass","10yr","trailing","base1841_2010"
1997,"climate",0.553572108336999,"Biomass","10yr","trailing","base1841_2010"
1997,"combined",-1.522977682285,"Biomass","10yr","trailing","base1841_2010"
1998,"fishing",-2.077173599713,"Biomass","10yr","trailing","base1841_2010"
1998,"climate",0.252633962406023,"Biomass","10yr","trailing","base1841_2010"
1998,"combined",-1.82453963730698,"Biomass","10yr","trailing","base1841_2010"
1999,"fishing",-2.07099173800269,"Biomass","10yr","trailing","base1841_2010"
1999,"climate",0.686142448211871,"Biomass","10yr","trailing","base1841_2010"
1999,"combined",-1.38484928979082,"Biomass","10yr","trailing","base1841_2010"
2000,"fishing",-2.05797127328338,"Biomass","10yr","trailing","base1841_2010"
2000,"climate",-0.50863094464022,"Biomass","10yr","trailing","base1841_2010"
2000,"combined",-2.5666022179236,"Biomass","10yr","trailing","base1841_2010"
2001,"fishing",-2.03775001100489,"Biomass","10yr","trailing","base1841_2010"
2001,"climate",-2.09631750728846,"Biomass","10yr","trailing","base1841_2010"
2001,"combined",-4.13406751829335,"Biomass","10yr","trailing","base1841_2010"
2002,"fishing",-2.02757270474124,"Biomass","10yr","trailing","base1841_2010"
2002,"climate",-0.255560589901164,"Biomass","10yr","trailing","base1841_2010"
2002,"combined",-2.2831332946424,"Biomass","10yr","trailing","base1841_2010"
2003,"fishing",-2.05101977061688,"Biomass","10yr","trailing","base1841_2010"
2003,"climate",-2.3755968926188,"Biomass","10yr","trailing","base1841_2010"
2003,"combined",-4.42661666323569,"Biomass","10yr","trailing","base1841_2010"
2004,"fishing",-2.04603142043104,"Biomass","10yr","trailing","base1841_2010"
2004,"climate",-0.644320047506152,"Biomass","10yr","trailing","base1841_2010"
2004,"combined",-2.69035146793719,"Biomass","10yr","trailing","base1841_2010"
2005,"fishing",-2.06486582433938,"Biomass","10yr","trailing","base1841_2010"
2005,"climate",1.63773198658586,"Biomass","10yr","trailing","base1841_2010"
2005,"combined",-0.427133837753516,"Biomass","10yr","trailing","base1841_2010"
2006,"fishing",-2.0820327779305,"Biomass","10yr","trailing","base1841_2010"
2006,"climate",-0.75978928144626,"Biomass","10yr","trailing","base1841_2010"
2006,"combined",-2.84182205937676,"Biomass","10yr","trailing","base1841_2010"
2007,"fishing",-2.04905237238133,"Biomass","10yr","trailing","base1841_2010"
2007,"climate",-0.700715567921133,"Biomass","10yr","trailing","base1841_2010"
2007,"combined",-2.74976794030246,"Biomass","10yr","trailing","base1841_2010"
2008,"fishing",-2.03052223067156,"Biomass","10yr","trailing","base1841_2010"
2008,"climate",-2.19820972779644,"Biomass","10yr","trailing","base1841_2010"
2008,"combined",-4.228731958468,"Biomass","10yr","trailing","base1841_2010"
2009,"fishing",-2.029284246683,"Biomass","10yr","trailing","base1841_2010"
2009,"climate",-0.61542117606524,"Biomass","10yr","trailing","base1841_2010"
2009,"combined",-2.64470542274824,"Biomass","10yr","trailing","base1841_2010"
2010,"fishing",-2.05389475114907,"Biomass","10yr","trailing","base1841_2010"
2010,"climate",0.997607160320761,"Biomass","10yr","trailing","base1841_2010"
2010,"combined",-1.05628759082831,"Biomass","10yr","trailing","base1841_2010"
1900,"fishing",0,"Biomass variability","10yr","trailing","base1841_2010"
1900,"climate",-0.305220400007926,"Biomass variability","10yr","trailing","base1841_2010"
1900,"combined",-0.305220400007926,"Biomass variability","10yr","trailing","base1841_2010"
1901,"fishing",7.32065268578626e-16,"Biomass variability","10yr","trailing","base1841_2010"
1901,"climate",-0.237316417876037,"Biomass variability","10yr","trailing","base1841_2010"
1901,"combined",-0.237316417876036,"Biomass variability","10yr","trailing","base1841_2010"
1902,"fishing",0,"Biomass variability","10yr","trailing","base1841_2010"
1902,"climate",-0.134625154803068,"Biomass variability","10yr","trailing","base1841_2010"
1902,"combined",-0.134625154803068,"Biomass variability","10yr","trailing","base1841_2010"
1903,"fishing",0,"Biomass variability","10yr","trailing","base1841_2010"
1903,"climate",0.458783582584174,"Biomass variability","10yr","trailing","base1841_2010"
1903,"combined",0.458783582584174,"Biomass variability","10yr","trailing","base1841_2010"
1904,"fishing",-7.32065268578626e-16,"Biomass variability","10yr","trailing","base1841_2010"
1904,"climate",0.535826729165749,"Biomass variability","10yr","trailing","base1841_2010"
1904,"combined",0.535826729165748,"Biomass variability","10yr","trailing","base1841_2010"
1905,"fishing",-7.32065268578626e-16,"Biomass variability","10yr","trailing","base1841_2010"
1905,"climate",1.01612362252935,"Biomass variability","10yr","trailing","base1841_2010"
1905,"combined",1.01612362252935,"Biomass variability","10yr","trailing","base1841_2010"
1906,"fishing",-1.46413053715725e-15,"Biomass variability","10yr","trailing","base1841_2010"
1906,"climate",1.07052554530926,"Biomass variability","10yr","trailing","base1841_2010"
1906,"combined",1.07052554530926,"Biomass variability","10yr","trailing","base1841_2010"
1907,"fishing",0,"Biomass variability","10yr","trailing","base1841_2010"
1907,"climate",1.52761574176615,"Biomass variability","10yr","trailing","base1841_2010"
1907,"combined",1.52761574176615,"Biomass variability","10yr","trailing","base1841_2010"
1908,"fishing",0,"Biomass variability","10yr","trailing","base1841_2010"
1908,"climate",1.37133944979323,"Biomass variability","10yr","trailing","base1841_2010"
1908,"combined",1.37133944979323,"Biomass variability","10yr","trailing","base1841_2010"
1909,"fishing",-7.32065268578626e-16,"Biomass variability","10yr","trailing","base1841_2010"
1909,"climate",0.827955407427846,"Biomass variability","10yr","trailing","base1841_2010"
1909,"combined",0.827955407427845,"Biomass variability","10yr","trailing","base1841_2010"
1910,"fishing",-7.32065268578626e-16,"Biomass variability","10yr","trailing","base1841_2010"
1910,"climate",0.568484517002828,"Biomass variability","10yr","trailing","base1841_2010"
1910,"combined",0.568484517002828,"Biomass variability","10yr","trailing","base1841_2010"
1911,"fishing",-1.46413053715725e-15,"Biomass variability","10yr","trailing","base1841_2010"
1911,"climate",0.514559278208589,"Biomass variability","10yr","trailing","base1841_2010"
1911,"combined",0.514559278208587,"Biomass variability","10yr","trailing","base1841_2010"
